"Name","GlobalID","BuildingLevel","TID","InfoTID","BuildingClass","SecondaryTargetingClass","ShopBuildingClass","SWF","ExportName","ExportNameNpc","ExportNameConstruction","ExportNameLocked","EarlyExportName","EarlyExportNameMaxTownHall","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildResource","BuildCost","TownHallLevel","CapitalHallLevel","Width","Height","Icon","AreEdgesUnpassableByVillagers","ExportNameBuildAnim","ExportNameUpgradeAnim","AlternateExportName","AlternateUpgradeExportName","MaxStoredGold","MaxStoredElixir","MaxStoredDarkElixir","MaxStoredSourElixir","MaxStoredCommonOre","MaxStoredRareOre","MaxStoredEpicOre","MaxStoredWarGold","MaxStoredWarElixir","MaxStoredWarDarkElixir","MaxStoredGold2","MaxStoredElixir2","PercentageStoredGold","PercentageStoredElixir","PercentageStoredDarkElixir","LootOnDestruction","Bunker","Blacksmith","HeroTavern","ArmySlotType","HousingSpace","HousingSpaceAlt","HousingSpaceSiege","ProducesResource","ResourcePer100Hours","ResourceMax","ResourceIconLimit","UnitProduction","UpgradesUnitType","ProducesUnitsOfType","LevelRequirementTID","BoostCost","FreeBoost","Hitpoints","RegenTime","AttackRange","NormalModeTID","AlternateModeTID","AltAttackMode","AltAttackRange","PrepareSpeed","AttackSpeed","AltAttackSpeed","CoolDownOverride","AltCoolDownOverride","DPS","AltDPS","Damage","PreferredTarget","PreferredTargetDamageMod","RandomHitPosition","DestroyEffect","DestroyDamageEffect","AttackEffect","AttackEffect2","ChainShootingDistance","ChainAttackDistance","ChainAttackDepth","ChainAttackFactor","ChainAttackDelay","ChainAttackDamageReductionPercent","AttackEffectAlt","HitEffect","Projectile","AltProjectile","ExportNameDamagedSWF","ExportNameDamaged","BuildingW","BuildingH","BaseGfx","ExportNameBase","AirTargets","GroundTargets","MultiTargets","NumMultiTargets","MultiHitsTarget","AltAirTargets","AltGroundTargets","AltMultiTargets","AmmoCount","AmmoResource","AmmoCost","MinAttackRange","DamageRadius","Pushback","PushbackTime","PushbackHousingLimit","WallCornerPieces","LoadAmmoEffect","NoAmmoEffect","ToggleAttackModeEffect","PickUpEffect","PlacingEffect","AnimateTurret","DefenderCharacter","DefenderCount","DefenderZ","AltDefenderZ","DestructionXP","Locked","StartingHomeCount","Hidden","AOESpell","AOESpellAlternate","TriggerRadius","ExportNameTriggered","AppearEffect","ForgesSpells","ForgesMiniSpells","HousesGuardians","IsHeroBarrack","HeroType","IncreasingDamage","DPSLv2","DPSLv3","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","TransitionEffectLv2","TransitionEffectLv3","AltNumMultiTargets","PreventsHealing","StrengthWeight","AlternatePickNewTargetDelay","AltBuildResource","SpeedMod","StatusEffectTime","ShockwavePushStrength","ShockwaveArcLength","ShockwaveExpandRadius","TargetingConeAngle","AimRotateStep","PenetratingProjectile","PenetratingRadius","PenetratingExtraRange","TurnSpeed","NeedsAim","TargetGroups","TargetGroupsRadius","HitSpell","HitSpellLevel","ExportNameBeamStart","ExportNameBeamEnd","Damage2","Damage2Radius","Damage2Delay","Damage2Min","Damage2FalloffStart","Damage2FalloffEnd","HitEffect2","WakeUpSpeed","WakeUpSpace","PreAttackEffect","ShareHeroCombatData","BurstCount","BurstDelay","AltBurstCount","AltBurstDelay","DummyProjectileCount","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","IsRed","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","DefenceTroopCount","DefenceTroopCharacter","DefenceTroopDynamic","DefenceTroopCharacter2","DefenceTroopLevel","AmountCanBeUpgraded","SelfAsAoeCenter","NewTargetAttackDelay","GearUpBuilding","GearUpLevelRequirement","GearUpResource","GearUpCost","GearUpTime","GearUpTID","StartUpgradeBoosterCostDivisor","ActivateCombatOnDamageTaken","ActivateAfterSeconds","ActivatedCombatAddBuildingClass","CombatActivationDelay","CombatActivationEffect","Weapon","HintPriority","UpgradeTasks","UpgradeTasksRequired","AnimationActionFrame","RandomizeTarget","SpellOnNearbyDamage","DamagePermilHp","ProjectileVariantByTargetMaxHP","DefaultProjectileVariant","PreviewScenario","PreviewScenarioUpgradePreview","PreviewScenarioUpgrading","AltPreviewScenario","CustomTargetHitBuildingInRange","UnlockWeaponMode","Stage","SecondaryTroop","SecondaryTroopCnt","SecondaryTroopLvl","SecondaryTroopAttacker","SpawnTimer","SpawnOnAttack","SummonTroopCount","HealthRecoveryPercent","MergeRequirement","ProjectileBounces","UseCustomCornerPiecesInEnds","UseCustomCornerPiecesInTurns","UseCustomCornerPiecesInTJunctions","DieSpellAttacker","MiniLevels","StatBars","RetargetAfterHit","AltModeStatBars","SpecialAbilities","SpecialAbilitiesLevel","SeasonalDefense","Animation","UseBattleIdleAnimation","Building3D","TargetingImmunitySiegeMachines","TargetingImmunityHeroes","TargetingImmunityOtherCharacters","TargetingImmunityTH_CC","TargetingImmunityStorages","TargetingImmunityWalls","TargetingImmunityOtherBuildings","TargetingImmunityTotems"
,,2,,,,,,,"rapidfire_turret_lvl2",,,,,,1,0,0,0,,1200000,9,9,,,,,"alliance_castle_upg","rapidfire_turret_lvl2_upgrade","rapidfire_turret_lvl2_air","rapidfire_turret_lvl2_upgrade_air",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,21,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,"X-Bow Projectile 2","X-Bow Projectile 2",,,,,,,,,,,,,,,,,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,"rapidfire_turret_lvl3",,,,,,2,0,0,0,,2400000,9,9,,,,,"alliance_castle_upg","rapidfire_turret_lvl3_upgrade","rapidfire_turret_lvl3_air","rapidfire_turret_lvl3_upgrade_air",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,22,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,"X-Bow Projectile 3","X-Bow Projectile 3",,,,,,,,,,,,,,,,,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,"rapidfire_turret_lvl4",,,,,,2,12,0,0,,2500000,10,10,,,,,"alliance_castle_upg","rapidfire_turret_lvl4_upgrade","rapidfire_turret_lvl4_air","rapidfire_turret_lvl4_upgrade_air",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,22,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,"X-Bow Projectile 4","X-Bow Projectile 4",,,,,,,,,,,,,,,,,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,"rapidfire_turret_lvl5",,,,,,3,0,0,0,,3900000,11,11,,,,,"alliance_castle_upg","rapidfire_turret_lvl5_upgrade","rapidfire_turret_lvl5_air","rapidfire_turret_lvl5_upgrade_air",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,22,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,"X-Bow Projectile 5","X-Bow Projectile 5",,,,,,,,,,,,,,,,,26000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,"rapidfire_turret_lvl6",,,,,,3,12,0,0,,5000000,12,12,,,,,"alliance_castle_upg","rapidfire_turret_lvl6_upgrade","rapidfire_turret_lvl6_air","rapidfire_turret_lvl6_upgrade_air",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,22,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,"X-Bow Projectile 5","X-Bow Projectile 5",,,,,,,,,,,,,,,,,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,"rapidfire_turret_lvl7",,,,,,4,0,0,0,,6000000,13,13,,,,,"alliance_castle_upg","rapidfire_turret_lvl7_upgrade","rapidfire_turret_lvl7_air","rapidfire_turret_lvl7_upgrade_air",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700,22,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,"X-Bow Projectile 5","X-Bow Projectile 5",,,,,,,,,,,,,,,,,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,"rapidfire_turret_lvl8",,,,,,4,12,0,0,,7000000,13,13,,,,,"alliance_castle_upg","rapidfire_turret_lvl8_upgrade","rapidfire_turret_lvl8_air","rapidfire_turret_lvl8_upgrade_air",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,22,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,"X-Bow Projectile 6","X-Bow Projectile 6",,,,,,,,,,,,,,,,,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,"rapidfire_turret_lvl9",,,,,,5,0,0,0,,9000000,14,14,,,,,"alliance_castle_upg","rapidfire_turret_lvl9_upgrade","rapidfire_turret_lvl9_air","rapidfire_turret_lvl9_upgrade_air",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,22,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,"X-Bow Projectile 6","X-Bow Projectile 6",,,,,,,,,,,,,,,,,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,"rapidfire_turret_lvl10",,,,,,5,12,0,0,,9500000,15,15,,,,,"alliance_castle_upg","rapidfire_turret_lvl10_upgrade","rapidfire_turret_lvl10_air","rapidfire_turret_lvl10_upgrade_air",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,22,,,,,,,,,,,205,,,,,,,,,,,,,,,,,,"X-Bow Projectile 7","X-Bow Projectile 7",,,,,,,,,,,,,,,,,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,"rapidfire_turret_lvl11",,,,,,6,0,0,0,,10000000,16,16,,,,,"alliance_castle_upg","rapidfire_turret_lvl11_upgrade","rapidfire_turret_lvl11_air","rapidfire_turret_lvl11_upgrade_air",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600,22,,,,,,,,,,,225,,,,,,,,,,,,,,,,,,"X-Bow Projectile 7","X-Bow Projectile 7",,,,,,,,,,,,,,,,,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,"rapidfire_turret_lvl12",,,,,,8,0,0,0,,16000000,17,17,,,,,"alliance_castle_upg","rapidfire_turret_lvl12_upgrade","rapidfire_turret_lvl12_air","rapidfire_turret_lvl12_upgrade_air",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,22,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,"X-Bow Projectile 7","X-Bow Projectile 7",,,,,,,,,,,,,,,,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,,,,,,"rapidfire_turret_lvl13",,,,,,13,12,0,0,,26000000,18,18,,,,,"alliance_castle_upg","rapidfire_turret_lvl13_upgrade","rapidfire_turret_lvl13_air","rapidfire_turret_lvl13_upgrade_air",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,22,,,,,,,,,,,245,,,,,,,,,,,,,,,,,,"X-Bow Projectile 7","X-Bow Projectile 7",,,,,,,,,,,,,,,,,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inferno Tower",1000027,1,"TID_BUILDING_DARK_TOWER","TID_DARK_TOWER_INFO","Defense",,,"sc/buildings.sc","dark_tower_lvl1",,"dark_tower_const",,,,0,12,0,0,"Gold",1000000,10,10,2,2,,,"dark_tower_upg","dark_tower_lvl1_upgrade","dark_tower_lvl1_multi","dark_tower_lvl1_upgrade_multi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,20,900,"TID_BUILDING_DARK_TOWER_SINGLE_CONFIG","TID_BUILDING_DARK_TOWER_MULTI_CONFIG","TRUE",1000,,128,,,,30,,,,,,"Building Destroyed",,"Dark Tower Attack 1",,,,,,,,,"Dark Tower Hit",,,,"destroyedBuilding_2l_round_pit_rockwood",1,1,,"dark_tower_base","TRUE","TRUE",,,,"TRUE","TRUE","TRUE",1000,"DarkElixir",500,,,,,,,"Dark Tower Load","Dark Tower No Ammo","Dark Tower Target","Dark Tower Pickup","Dark Tower Placing",,,,,,,,,,,,,,,,,,,,"TRUE",80,800,1500,5250,"Dark Tower Attack 2","Dark Tower Attack 3","Dark Tower Up 2","Dark Tower Up 3",5,,18900,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,"DefenseHeavy",,,"DefenseLongRange",,,,,,,,,,,,,,,,,,"Inferno Tower Mini Levels",,,,,,,,,,,,,,,,,
,,2,,,,,,,"dark_tower_lvl2",,,,,,1,0,0,0,,1200000,10,10,,,,,,"dark_tower_lvl2_upgrade","dark_tower_lvl2_multi","dark_tower_lvl2_upgrade_multi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,21,,,,,,,,,,,35,,,,,,,,"Dark Tower Attack 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1000,1500,5250,"Dark Tower Attack 2","Dark Tower Attack 3",,,5,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,"dark_tower_lvl3",,,,,,2,0,0,0,,2400000,10,10,,,,,,"dark_tower_lvl3_upgrade","dark_tower_lvl3_multi","dark_tower_lvl3_upgrade_multi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,22,,,,,,,,,,,40,,,,,,,,"Dark Tower lvl3 Attack 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,1200,1500,5250,"Dark Tower lvl3 Attack 2","Dark Tower lvl3 Attack 3",,,5,,20813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,"dark_tower_lvl4",,,,,,2,12,0,0,,3400000,11,11,,,,,,"dark_tower_lvl4_upgrade","dark_tower_lvl4_multi","dark_tower_lvl4_upgrade_multi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,23,,,,,,,,,,,45,,,,,,,,"Dark Tower lvl3 Attack 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,1400,1500,5250,"Dark Tower lvl3 Attack 2","Dark Tower lvl3 Attack 3",,,5,,23100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,"dark_tower_lvl5",,,,,,3,0,0,0,,4000000,11,11,,,,,,"dark_tower_lvl5_upgrade","dark_tower_lvl5_multi","dark_tower_lvl5_upgrade_multi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,23,,,,,,,,,,,50,,,,,,,,"Dark Tower lvl3 Attack 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,1500,1500,5250,"Dark Tower lvl3 Attack 2","Dark Tower lvl3 Attack 3",,,5,,25500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,"dark_tower_lvl6",,,,,,4,0,0,0,,6000000,12,12,,,,,,"dark_tower_lvl6_upgrade","dark_tower_lvl6_multi","dark_tower_lvl6_upgrade_multi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,23,,,,,,,,,,,55,,,,,,,,"Dark Tower lvl3 Attack 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,1600,1500,5250,"Dark Tower lvl3 Attack 2","Dark Tower lvl3 Attack 3",,,5,,27550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,"dark_tower_lvl7",,,,,,5,0,0,0,,8000000,13,13,,,,,,"dark_tower_lvl7_upgrade","dark_tower_lvl7_multi","dark_tower_lvl7_upgrade_multi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,23,,,,,,,,,,,65,,,,,,,,"Dark Tower lvl3 Attack 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1800,1500,5250,"Dark Tower lvl3 Attack 2","Dark Tower lvl3 Attack 3",,,5,,30150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,"dark_tower_lvl8",,,,,,6,0,0,0,,9500000,14,14,,,,,,"dark_tower_lvl8_upgrade","dark_tower_lvl8_multi","dark_tower_lvl8_upgrade_multi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700,23,,,,,,,,,,,80,,,,,,,,"Dark Tower lvl3 Attack 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,2100,1500,5250,"Dark Tower lvl3 Attack 2","Dark Tower lvl3 Attack 3",,,6,,32725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,"dark_tower_lvl9",,,,,,6,12,0,0,,10000000,15,15,,,,,,"dark_tower_lvl9_upgrade","dark_tower_lvl9_multi","dark_tower_lvl9_upgrade_multi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,23,,,,,,,,,,,100,,,,,,,,"Dark Tower lvl3 Attack 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,2300,1500,5250,"Dark Tower lvl3 Attack 2","Dark Tower lvl3 Attack 3",,,6,,34650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,"dark_tower_lvl10",,,,,,7,0,0,0,,11000000,16,16,,,,,,"dark_tower_lvl10_upgrade","dark_tower_lvl10_multi","dark_tower_lvl10_upgrade_multi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,23,,,,,,,,,,,120,,,,,,,,"Dark Tower lvl3 Attack 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,2600,1500,5250,"Dark Tower lvl3 Attack 2","Dark Tower lvl3 Attack 3",,,6,,37950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,"dark_tower_lvl11",,,,,,8,0,0,0,,16000000,17,17,,,,,,"dark_tower_lvl11_upgrade","dark_tower_lvl11_multi","dark_tower_lvl11_upgrade_multi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,24,,,,,,,,,,,140,,,,,,,,"Dark Tower lvl3 Attack 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,2900,1500,5250,"Dark Tower lvl3 Attack 2","Dark Tower lvl3 Attack 3",,,6,,39500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,"dark_tower_lvl12",,,,,,13,12,0,0,,26500000,18,18,,,,,,"dark_tower_lvl12_upgrade","dark_tower_lvl12_multi","dark_tower_lvl12_upgrade_multi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100,24,,,,,,,,,,,155,,,,,,,,"Dark Tower lvl3 Attack 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,3300,1500,5250,"Dark Tower lvl3 Attack 2","Dark Tower lvl3 Attack 3",,,6,,40500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eagle Artillery",1000031,1,"TID_BUILDING_ARTILLERY","TID_ARTILLERY_INFO","Defense",,,"sc/buildings.sc","doom_cannon_lvl1",,"laboratory_const",,,,4,0,0,0,"Gold",5000000,11,11,4,4,,,"laboratory_upg","doom_cannon_lvl1_upgrade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,20,5000,,,,,,10000,,6992,,0,,20,,,,"Building Destroyed",,"Artillery Attack",,,,,,,,,"Ancient Hit","Artillery Ammo1",,,"destroyedBuilding_4m_base_rock",3,3,,"eagle_artillery_base","TRUE","TRUE",,,,,,,30,"Elixir",35000,700,300,50,,3,,"Artillery Load","Artillery No Ammo",,"Basic Turret Pickup","Artillery Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58800,,,,,,,,,,,,,,,"TRUE",500,,,"beam_up","beam_down",,,,,,,,1125,200,"Artillery PreAttack",,3,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,"AncientArtillery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,"doom_cannon_lvl2",,,,,,5,0,0,0,"Gold",6000000,11,11,,,,,,"doom_cannon_lvl2_upgrade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,21,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,"Artillery Ammo2",,,,,,,,,,,,,,,,,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,"doom_cannon_lvl3",,,,,,7,0,0,0,"Gold",9000000,12,12,,,,,,"doom_cannon_lvl3_upgrade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,21,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,"Artillery Ammo3",,,,,,,,,,,,,,,,,,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,"doom_cannon_lvl4",,,,,,7,12,0,0,"Gold",10000000,13,13,,,,,,"doom_cannon_lvl4_upgrade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200,21,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,"Artillery Ammo4",,,,,,,,,,,,,,,,,,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
